type,page,title,url,local_path
pdf,book_lib,أسئلة ذي القرنين الأندونيسي,https://alnajmi.net/portal/wp-content/uploads/2019/01/أسئلة-ذي-القرنين-الأندونيسي.pdf,pdf/book_lib/أسئلة-ذي-القرنين-الأندونيسي.pdf
pdf,book_lib,الفتاوى الجلية عن المناهج الدعوية ( الجزء الأول ),https://alnajmi.net/portal/wp-content/uploads/2019/01/mkl1.pdf,pdf/book_lib/mkl1.pdf
pdf,book_lib,الفتاوى الجلية عن المناهج الدعوية ( الجزء الثاني ),https://alnajmi.net/portal/wp-content/uploads/2019/01/mkl2.pdf,pdf/book_lib/mkl2.pdf
pdf,book_lib,فتاوى الصيام,https://alnajmi.net/portal/wp-content/uploads/2019/01/فتاوى-الصيام.pdf,pdf/book_lib/فتاوى-الصيام.pdf
pdf,book_lib,فتح الرب الودود في الفتاوى و الرسائل و الردود – الجزء الأول,https://alnajmi.net/portal/wp-content/uploads/2019/01/فتح-الرب-الودود-في-الفتاوى-و-الرسائل-و-الردود-الجزء-الأول.pdf,pdf/book_lib/فتح-الرب-الودود-في-الفتاوى-و-الرسائل-و-الردود-الجزء-الأول.pdf
pdf,book_lib,فتح الرب الودود في الفتاوى و الرسائل و الردود – الجزء الثاني,https://alnajmi.net/portal/wp-content/uploads/2019/01/فتح-الرب-الودود-في-الفتاوى-و-الرسائل-و-الردود-الجزء-الثاني.pdf,pdf/book_lib/فتح-الرب-الودود-في-الفتاوى-و-الرسائل-و-الردود-الجزء-الثاني.pdf
pdf,book_lib,إرشاد الساري,https://alnajmi.net/portal/wp-content/uploads/2019/01/إرشاد-الساري.pdf,pdf/book_lib/إرشاد-الساري.pdf
pdf,book_lib,الإبانة عن أصول الديانة,https://alnajmi.net/portal/wp-content/uploads/2019/01/الإبانة-عن-أصول-الديانة.pdf,pdf/book_lib/الإبانة-عن-أصول-الديانة.pdf
pdf,book_lib,التعليقات البهية على الرسائل الأربع العقدية ( طبعة جديدة ),https://alnajmi.net/portal/wp-content/uploads/2019/01/التعليقات-البهية-على-الرسائل-الأربع-العقدية-طبعة-جديدة-.pdf,pdf/book_lib/التعليقات-البهية-على-الرسائل-الأربع-العقدية-طبعة-جديدة-.pdf
pdf,book_lib,الدرر النجمية في رد بعض الشبهات العقدية والمنهجية,https://alnajmi.net/portal/wp-content/uploads/2019/01/الدرر-النجمية-في-رد-بعض-الشبهات-العقدية-والمنهجية.pdf,pdf/book_lib/الدرر-النجمية-في-رد-بعض-الشبهات-العقدية-والمنهجية.pdf
pdf,book_lib,الشرح الموجز الممهد,https://alnajmi.net/portal/wp-content/uploads/2019/01/الشرح-الموجز-الممهد.pdf,pdf/book_lib/الشرح-الموجز-الممهد.pdf
pdf,book_lib,الطائفة الناجية المنصورة,https://alnajmi.net/portal/wp-content/uploads/2019/01/الطائفة-الناجية-المنصورة.pdf,pdf/book_lib/الطائفة-الناجية-المنصورة.pdf
